id;name;kingdom_id;rarity;mana;spell_type;type1;type2;color1;color2;color3
7518;Страж огня;3080;Мифический;24;Маг;Босс;;All;;
7251;Бриллиантина;3019;Мифический;30;Маг;Дракон; Босс;All;;
7520;Страж света;3030;Мифический;24;Маг;Босс;;All;;
7446;Стелларикс;3084;Мифический;32;Маг;Дракон;;All;;
7519;Страж костей;3085;Мифический;24;Маг;Босс;;All;;
7622;Chrysanthemum Dragon;3080;Мифический;3;Разрушитель;;;All;;
7564;Страж инноваций;3001;Мифический;24;Маг;Босс;;All;;
7521;Страж камня;3082;Мифический;24;Маг;Босс;;All;;
7602;Guardian of Sands;3025;Мифический;24;Маг;Босс;;All;;
7565;Страж льда;3011;Мифический;24;Маг;Босс;;All;;
7603;Guardian of Chaos;3037;Мифический;24;Маг;Босс;;All;;
6219;Зяблик;3028;Обычный;7;Разрушитель;Зверь;;желтый;;
7450;Драконий часовой;3019;Легендарный;13;Защитник;Дракон; Конструкт;желтый;;
6664;Беда света;3023;Обычный;25;Чародей;Беда;;желтый;;
6264;Смирение;3033;Обычный;13;Генератор;Элементаль; Конструкт;желтый;;
6834;Изящество;3033;Обычный;11;Ассасин;Стрикс; Конструкт;желтый;;
6230;Драконьи яйца;3019;Обычный;10;Воевода;Дракон;;желтый;;
6345;Перитон;3019;Обычный;11;Ассасин;Монстр;;желтый;;
6126;Летний бес;3032;Легендарный;12;Генератор;Элементаль;;желтый;;
6673;Карлик-камнекрад;3038;Обычный;9;Поддержка;Карлик;;желтый;;
7067;Звезда;3002;Легендарный;6;Поддержка;Конструкт;;желтый;;
6381;Валравен;3038;Обычный;10;Генератор;Нежить; Зверь;желтый;;
7162;Трубадур;3005;Обычный;10;Генератор;Ракша;;желтый;;
7421;Отшельник;3024;Легендарный;6;Генератор;Конструкт;;желтый;;
7552;Двойка мечей;3014;Легендарный;6;Поддержка;Конструкт;;желтый;;
6155;Рокк;3024;Обычный;15;Воин;Зверь;;желтый;;
6028;Жрица;3014;Обычный;9;Поддержка;Божество; Человек;желтый;;
6576;Фестивальный бычок;3027;Обычный;9;Поддержка;Зверь;;желтый;;
6330;Чупакабра;3023;Обычный;9;Ассасин;Монстр;;желтый;;
7305;Верховная жрица;3011;Легендарный;6;Генератор;Конструкт;;желтый;;
6291;Полярная сова;3013;Обычный;8;Генератор;Зверь;;желтый;;
6568;Кошмар;3021;Обычный;10;Генератор;Демон; Зверь;желтый;;
7619;Daffodil Dragon;3003;Мифический;3;Разрушитель;;;желтый;;
6319;Робот-часовой;3001;Обычный;10;Поддержка;Механизм;;желтый;;
6618;Лампа джинна;3038;Легендарный;7;Поддержка;Конструкт;;желтый;;
7493;Умеренность;3014;Легендарный;6;Поддержка;Конструкт;;желтый;;
6258;Трактирщик;3006;Обычный;9;Поддержка;Человек;;желтый;;
6995;Солнце;3023;Легендарный;6;Поддержка;Конструкт;;желтый;;
6016;Кентавр-разведчик;3028;Обычный;7;Разрушитель;Кентавр;;желтый;;
6722;Маршал Карлсон;3001;Эпический;12;Разрушитель;Человек;;желтый; коричневый;
7266;Безголосый голем;3003;Эпический;14;Чародей;Дикий народец; Конструкт;желтый; коричневый;
6957;Кобольд;3051;Редкий;12;Разрушитель;Гоблин; Нага;желтый; коричневый;
6160;Великий Червь;3024;Легендарный;24;Ассасин;Монстр;;желтый; коричневый;
6313;Драконианец-монах;3019;Редчайший;11;Поддержка;Мистик; Дракон;желтый; коричневый;
6589;Урск-друид;3010;Редкий;10;Генератор;Элементаль; Урск;желтый; коричневый;
6741;Генерал Саладин;3025;Эпический;12;Воин;Человек;;желтый; коричневый;
7471;Адельвинг;3015;Эпический;15;Разрушитель;Зверь;;желтый; коричневый;
7364;Боцман Барт;3026;Эпический;12;Генератор;Человек; Разбойник;желтый; коричневый;
6909;Герольд Горя;3021;Эпический;13;Воин;Демон; Рыцарь;желтый; коричневый;
7500;Скорогрив;3025;Редчайший;10;Генератор;Зверь;;желтый; коричневый;
6463;Эриния;3021;Эпический;14;Воевода;Демон;;желтый; коричневый;
7212;Халцедония;3082;Эпический;15;Разрушитель;Демон; Конструкт;желтый; коричневый;
6860;Жучиный клинок;3060;Редкий;11;Ассасин;Дикий народец;;желтый; коричневый;
7426;Рогокрыл;3024;Эпический;12;Разрушитель;Монстр;;желтый; коричневый;
6006;Паровая турель;3001;Редкий;10;Маг;Механизм;;желтый; коричневый;
6755;Королева Зочи;3067;Легендарный;16;Маг;Стрикс; Мистик;желтый; коричневый;
7053;Тысячелистник;3022;Эпический;12;Генератор;Человек;;желтый; коричневый;
6530;Горбыль;3004;Редчайший;11;Ассасин;Зверь;;желтый; коричневый;
7323;Жизнешляп;3053;Эпический;11;Поддержка;Элементаль;;желтый; коричневый;
7092;Шельфа;3080;Эпический;10;Генератор;Элементаль;;желтый; коричневый;
6854;Лириат;3023;Редчайший;12;Поддержка;Стрикс;;желтый; коричневый;
6173;Гоблоед;3000;Эпический;12;Ассасин;Великан;;желтый; коричневый;
7513;Гномий авангард;3012;Редкий;9;Защитник;Гном; Рыцарь;желтый; коричневый;
7220;Хромитовый сфинкс;3083;Эпический;11;Чародей;Конструкт; Монстр;желтый; коричневый;
6559;Гном-зомби;3035;Редкий;11;Генератор;Нежить; Гном;желтый; коричневый;
7480;Рунный чароплет;3012;Редчайший;12;Маг;Гном; Мистик;желтый; коричневый;
7561;Крылатый осел;3028;Редчайший;11;Разрушитель;Кентавр; Зверь;желтый; коричневый;
6114;Кокатрикс;3008;Редкий;10;Генератор;Монстр;;желтый; коричневый;
6449;Огненный великан;3013;Редчайший;12;Ассасин;Элементаль; Великан;желтый; коричневый;
7191;Тотек;3023;Эпический;12;Защитник;Стрикс; Рыцарь;желтый; коричневый;
6988;Темный кузнец;3046;Редчайший;12;Воин;Гном;;желтый; коричневый;
6841;Сэр Квентин Хедли;3006;Легендарный;18;Воевода;Рыцарь; Зверь;желтый; коричневый;
6195;Ракшанин;3005;Редчайший;11;Ассасин;Ракша; Рыцарь;желтый; коричневый;
7086;Земляной змей;3064;Эпический;13;Защитник;Дракон;;желтый; коричневый;
7151;Огненный дух;3044;Редкий;12;Генератор;Элементаль;;желтый; коричневый;
6210;Воин Анубиса;3020;Редчайший;13;Воевода;Монстр; Мистик;желтый; коричневый;
6358;Артема;3028;Легендарный;15;Воин;Кентавр;;желтый; коричневый;
6772;Хрустальная гончая;3035;Редчайший;13;Генератор;Конструкт; Зверь;желтый; коричневый;
7226;Кролия-лекарь;3052;Эпический;12;Поддержка;Дикий народец; Мистик;желтый; коричневый;
7241;Топазовый великан;3014;Эпический;13;Разрушитель;Элементаль; Великан;желтый; коричневый;
6567;Лезвие-как-клык;3016;Редкий;10;Разрушитель;Нага; Рыцарь;желтый; коричневый;
6464;Бюлетта;3027;Редкий;12;Ассасин;Зверь; Монстр;желтый; коричневый;
7065;Хоаги Тугодерг;3038;Эпический;12;Воин;Карлик;;желтый; коричневый;
6686;Лесной костерог;3015;Редкий;11;Генератор;Элементаль; Зверь;желтый; коричневый;
7142;Небесный козел;3003;Редчайший;12;Разрушитель;Зверь;;желтый; коричневый;
6096;Бочколом;3013;Эпический;12;Ассасин;Гном;;желтый; коричневый;
6389;Порождение зла;3017;Редчайший;11;Ассасин;Демон;;желтый; коричневый;
6591;Жак Грознобух;3012;Эпический;12;Разрушитель;Гном;;желтый; коричневый;
6057;Рыцарь-волк;3006;Редкий;8;Разрушитель;Оборотень; Рыцарь;желтый; коричневый;
7535;Призрачный огр;3000;Редчайший;13;Разрушитель;Нежить; Великан;желтый; коричневый;
6156;Пылевой дьявол;3024;Редкий;10;Чародей;Элементаль;;желтый; коричневый;
7077;Страж Рок'Гар;3018;Эпический;16;Воевода;Орк; Рыцарь;желтый; коричневый;
7228;БОРК-3000;3001;Эпический;12;Генератор;Механизм; Зверь;желтый; коричневый;
6341;Монго;3027;Эпический;13;Поддержка;Бык;;желтый; коричневый;
6709;Хоминатор;3049;Легендарный;13;Воин;Дикий народец; Великан;желтый; коричневый;
6969;С.О.Л.Я.Р.А.;3001;Редчайший;11;Воин;Механизм;;желтый; коричневый;
6480;Ростовщик;3025;Редкий;12;Генератор;Человек;;желтый; коричневый;
6636;Ринаггор;3000;Эпический;12;Воин;Элементаль; Зверь;желтый; коричневый;
7294;Лисий смотритель;3084;Редкий;11;Разрушитель;Оборотень; Конструкт;желтый; коричневый;
6302;Пустынный богомол;3025;Редчайший;9;Генератор;Дикий народец; Монстр;желтый; коричневый;
6692;Мерворакс;3036;Редкий;12;Генератор;Морской житель; Монстр;желтый; коричневый;
6930;Мастак Паровой Свисток;3045;Легендарный;16;Воевода;Гном; Механизм;желтый; коричневый;
6274;Малыш Джонни Бронза;3026;Эпический;12;Воевода;Человек; Разбойник;желтый; коричневый;
6372;Царь Михаил;3010;Легендарный;17;Воин;Урск; Рыцарь;желтый; коричневый;
7344;Командир Рассветного Сердца;3014;Легендарный;16;Маг;Божество; Рыцарь;желтый; коричневый;
7381;Страж драконьего камня;3082;Легендарный;17;Маг;Дракон; Конструкт;желтый; коричневый;
7254;Камнеспин;3024;Редкий;11;Разрушитель;Монстр;;желтый; коричневый;
6088;Леди Сапфира;3014;Эпический;13;Ассасин;Нежить;;желтый; коричневый;
7585;Гном-Надзиратель;3012;Эпический;3;Разрушитель;;;желтый; коричневый;
6818;Цветский лев;3015;Редчайший;10;Чародей;Элементаль; Зверь;желтый; коричневый;
6253;Сатир-музыкант;3003;Редчайший;12;Чародей;Дикий народец;;желтый; коричневый;
7498;Гетит;3082;Эпический;12;Разрушитель;Демон; Конструкт;желтый; коричневый;
